,group,num,level,school,title,description,credits
159,ANTH,A458,400,Anchorage,Applied Ethics in Anthropology,"Examines the ethical issues that confront anthropologists, and the responsibilities they have to the public, the discipline, their colleagues and members of the communities with whom they are working. Course topic will vary with focus on a different subfield of anthropology. Special Note: May be repeated once with a change of subtitle. Not available for credit to students who have completed ANTH A658 with the same subtitle. May Be Stacked With: ANTH A658
Prerequisites: ANTH A202 with a minimum grade of C or ANTH A205 with a minimum grade of C or ANTH A210 with a minimum grade of C or ANTH A211 with a minimum grade of C.",3
160,ANTH,A461,400,Anchorage,Decolonizing Methodologies,"Introduces research methods informed by Indigenous ways of producing and sharing knowledge, ethical considerations, collaborative research design with Indigenous communities and peoples, the sharing of research materials and outcomes, and multivocal authorship. Examines the process of integrating responsibilities as a researcher with respect for cultural property rights and ownership. Crosslisted With: AKNS A461.
Prerequisites: AKNS A200 with a minimum grade of C or ANTH A201 with a minimum grade of C or ANTH A202 with a minimum grade of C.",3
161,ANTH,A464,400,Anchorage,Culture and Globalization,"Explores the relationship between culture and globalization. Examines global capitalism and ethnographic experiences in the context of transnational migration and diasporas, and the influence of new information technologies and media on values, beliefs and practices. Special Note: Not available for credit to students who have completed ANTH A664. Registration Restrictions: Completion of Tier 1 (basic college-level) GER courses May Be Stacked With: ANTH A664
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A250 with a minimum grade of C.
Attributes: UAA Integrative Capstone GER.",3
162,ANTH,A477,400,Anchorage,Cultural Resource Management,"Provides an integrated anthropological perspective on historic preservation and the management of cultural resources in the United States. Includes the history of resource protection legislation, the design and implementation of cultural resource management projects, and applications of relevant cultural resource laws, including ethical issues. Special Note: Not available for credit to students who have completed ANTH A677. Registration Restrictions: Junior or senior standing. May Be Stacked With: ANTH A677
Prerequisites: ANTH A211 with a minimum grade of C.",3
163,ANTH,A480,400,Anchorage,Analytical Techniques in Archaeology and Bioanthropology,"Critically examines data quality, sampling, quantification and interpretation of material remains with an emphasis on laboratory methods. Topics may include human osteology, zooarchaeology, lithics, ceramics and archaeobotany, among others. Special Note: May be repeated twice with a change of subtitle. Not available for credit to students who have completed ANTH A680 with the same subtitle. May Be Stacked With: ANTH A680
Prerequisites: ANTH A205 with a minimum grade of C or ANTH A211 with a minimum grade of C.

ANTH A487 Field Methods in Cultural Anthropology  1-8 Credits

Applies cultural anthropological research techniques by completing field-based research as a class project. Projects vary each semester, but may include archival/historical research and contemporary ethnographic projects. Methods may include qualitative and quantitative data collection with an emphasis on ethnographic research techniques. Special Note: May be repeated for a maximum of 8 credits. Registration Restrictions: Instructor approval May Be Stacked With: ANTH A687
Prerequisites: ANTH A202 with a minimum grade of C or ANTH A210 with a minimum grade of C.

ANTH A490 Selected Topics in Anthropology  1-3 Credits

Examines special topics in anthropology. Special Note: May be repeated for a maximum of six credits with change of subtitle. May Be Stacked With: ANTH A690
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A200 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A205 with a minimum grade of C or ANTH A210 with a minimum grade of C or ANTH A211 with a minimum grade of C or ANTH A250 with a minimum grade of C or AKNS A201 with a minimum grade of C or GEOG A101 with a minimum grade of C or INTL A101 with a minimum grade of C or HS A220 with a minimum grade of C or JUST A330 with a minimum grade of C or LSSS A111 with a minimum grade of C or SOC A101 with a minimum grade of C or SOC A202 with a minimum grade of C or WSGS A200 with a minimum grade of C.",4
164,ANTH,A490A,400,Anchorage,"Health, Ritual and Science","Examines various relationships between human culture, belief and experience to health, disease and wellness. Topical emphasis will vary by semester. Special Note: May be repeated once with a change of subtitle. Not available for credit to students who have completed ANTH A690A with the same subtitle. May Be Stacked With: ANTH A690A
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A200 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A250 with a minimum grade of C or GEOG A101 with a minimum grade of C or INTL A101 with a minimum grade of C or HS A220 with a minimum grade of C or JUST A330 with a minimum grade of C or LSSS A111 with a minimum grade of C or SOC A101 with a minimum grade of C or SOC A202 with a minimum grade of C or WSGS A200 with a minimum grade of C.",3
165,ANTH,A490B,400,Anchorage,Historical Engagements,"Examines the pathways connecting history and anthropology, as seen through material culture, oral traditions, historical documents and shifting disciplinary perspectives. Special Note: May be repeated once with a change of subtitle. Not available for credit to students who have completed ANTH A690B with the same subtitle. May Be Stacked With: ANTH A690B
Prerequisites: AKNS A201 with a minimum grade of C or ANTH A200 with a minimum grade of C or ANTH A202 with a minimum grade of C or HIST A377 with a minimum grade of C.",3
166,ANTH,A490C,400,Anchorage,Belief and Identity,"Cross-cultural perspectives on identity related to ethnicity, language, gender, religion and other social factors. Emphasis on topics will vary by semester. Special Note: May be repeated once with a change of subtitle. Not available for credit for students who have completed ANTH A690C with the same subtitle. May Be Stacked With: ANTH A690C
Prerequisites: AKNS A201 with a minimum grade of C or ANTH A101 with a minimum grade of C or ANTH A202 with a minimum grade of C or SOC A101 with a minimum grade of C or SOC A202 with a minimum grade of C or WSGS A200 with a minimum grade of C.",3
167,ANTH,A490D,400,Anchorage,Topics in the Contemporary North,"Holistically examines contemporary Alaska topics, especially as they pertain to Indigenous peoples and communities and the broader Circumpolar North. Identifies ways in which anthropologists address these issues. Topical emphasis will vary by semester. Special Note: May be repeated once with a change of subtitle. Not available for credit to students who have completed ANTH A690D with the same subtitle. May Be Stacked With: ANTH A690D
Prerequisites: ANTH A202 with a minimum grade of C or ANTH A205 with a minimum grade of C or ANTH A210 with a minimum grade of C or ANTH A211 with a minimum grade of C.",3
168,ANTH,A490E,400,Anchorage,"Culture, Environment, Place","Examines relationships between human culture, space and place with attention to the constructions, experiences and perceptions of the physical environment. Special Note: May be repeated once with a change of subtitle. Not available for credit to students who have completed ANTH A690E with the same subtitle. May Be Stacked With: ANTH A690E
Prerequisites: ANTH A101 with a minimum grade of C or ANTH A200 with a minimum grade of C or ANTH A202 with a minimum grade of C or ANTH A250 with a minimum grade of C or ENVI A212 with a minimum grade of C or GEOG A101 with a minimum grade of C or INTL A101 with a minimum grade of C.

ANTH A495 Practicum in Anthropology  1-3 Credits

Applies practical anthropological skills learned under the supervision of a professional anthropologist. Special Note: May be repeated once. Registration Restrictions: 15 credit hours in Anthropology, instructor approval and agency mentor approval",3
169,ANTH,A499,400,Anchorage,Senior Thesis in Anthropology,"Independent library, laboratory, or field research in anthropology resulting in a substantial, thesis-quality paper. Special Note: May be repeated once for credit as a part of a two-semester sequence, with permission of thesis advisor. Must satisfy all requirements for honors in Anthropology. Registration Restrictions: Faculty approval",3
170,ANTH,A610,600,Anchorage,Anthropological Theory,"Traces the development of the science of anthropology. Presents key leaders and theoretical paradigms, concluding with contemporary practice. Special Note: Graduate students will be assigned more in-depth projects, additional class readings, and mentoring positions for undergraduates. Registration Restrictions: Admission to the Master of Arts in Anthropology May Be Stacked With: ANTH A410",3
171,ANTH,A611,600,Anchorage,Archaeological Theory,"Provides a survey of theoretical approaches and practice in contemporary archaeology. Includes class discussions based on readings, and student presentations. Special Note: Graduate students will be assigned more in-depth projects, additional class readings, and mentoring positions for undergraduates. Registration Restrictions: Admission to the Master of Arts in Anthropology May Be Stacked With: ANTH A411",3
172,ANTH,A615,600,Anchorage,Advanced Applied Anthropology,"Explores in depth the history, theory and methods of applied anthropology in the United States with some emphasis on applying anthropology in Alaska. Special Note: Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A415

ANTH A620 Research Design  1 Credit

Applies method and theory of research design to students' thesis research. Covers developing a research question, conducting a literature review, and writing a thesis prospectus. Registration Restrictions: Admission to the Master of Arts in Anthropology",3
173,ANTH,A630,600,Anchorage,Advanced Research Methods in Cultural Anthropology,"Introduces in depth the modes of scientific data gathering, analysis, and interpretation related in cultural anthropology. Includes the logic of scientific inquiry, research design, data collection and analysis, field work strategies, ethnographic and report writing, ethics in social science research, and grant proposal preparation. Special Note: Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A430

ANTH A631 Advanced Field Methods in Archaeology and Bioanthropology  1-8 Credits

Engages students in techniques of archaeological and bioarchaeological survey, mapping and excavation, including archaeological and bioarchaeological data recovery, recording techniques, initial cataloging and laboratory processing. Project setting may include historic sites, building documentation, archival research, bioarchaeological or forensics themed field schools, and pre-contact Indigenous sites within or outside of Alaska. Special Note: May be repeated once for credit. Graduate students will supervise the work of less experienced undergraduates under the overall supervision of the project director. They will be responsible for the quality of the excavation and recording of their undergraduate crew. They will be critically evaluated as potential professionals. Registration Restrictions: Graduate standing and instructor approval May Be Stacked With: ANTH A431",3
174,ANTH,A652,600,Anchorage,Advanced Studies in Culture and Human Biodiversity,"Applies modern biocultural theory - including genetics, epigenetics, growth and development, and evolutionary biology - to highlight current understandings of human phenotypic, gender and sexual variation. Explores the historical role that biological anthropology played in the construction of race and gender. Special Note: Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A452",3
175,ANTH,A654,600,Anchorage,Advanced Studies in Culture and Ecology,"Explores in depth cultural and ecological systems, examining sociopolitical dimensions of environmental change and ecological knowledge. Special Note: Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A454",3
176,ANTH,A655,600,Anchorage,Advanced Studies in Culture and Health,"Surveys and evaluates the relationship of human culture to health and disease. Includes ancient disease and impact on human evolution, interrelationship between biology and culture, alternative health systems, and applicability to contemporary problems. Special Note: Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A455",3
177,ANTH,A658,600,Anchorage,Advanced Applied Ethics in Anthropology,"Examines critically the ethical issues that confront anthropologists and archaeologists, and the responsibilities they have to the public, the discipline, their colleagues, and members of the communities with whom they are working. Course topic will vary with focus on a different subfield of anthropology. Special Note: May be repeated once with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A458",3
178,ANTH,A664,600,Anchorage,Advanced Studies in Culture and Globalization,"Explores critically the relationship between culture and globalization. Examines global capitalism and ethnographic experiences in the context of transnational migration and diasporas, and the influence of new information technologies and media on cultural values, beliefs and practices. Special Note: Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A464",3
179,ANTH,A677,600,Anchorage,Cultural Resource Management,"Provides an integrated anthropological perspective on historic preservation and the management of cultural resources in the United States. Includes the history of resource protection legislation, the design and implementation of cultural resource management projects, and applications of relevant cultural resource laws, including ethical issues. Special Note: Graduate students will be assigned more in-depth projects, additional class readings, and mentoring positions for undergraduates. Registration Restrictions: Admission to the Master of Arts in Anthropology May Be Stacked With: ANTH A477",3
180,ANTH,A680,600,Anchorage,Advanced Analytical Techniques in Archaeology and Bioanthropology,"Critically examines data quality, sampling, quantification and interpretation of material remains with an emphasis on laboratory methods. Topics vary by semester and may include human osteology, zooarchaeology, lithics, ceramics and archaeobotany, among others. Special Note: May be repeated two times with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A480

ANTH A687 Advanced Field Methods in Cultural Anthropology  1-8 Credits

Applies cultural anthropological research techniques by completing field-based research as a class project. Projects vary each semester but may include archival/historical research and contemporary ethnographic projects. Methods may include qualitative and quantitative data collection with an emphasis on ethnographic research techniques. Special Note: May be repeated for a maximum of 8 credits. Graduate students will supervise undergraduate tasks under supervision of instructor. Registration Restrictions: Graduate standing and instructor approval May Be Stacked With: ANTH A487

ANTH A690 Selected Topics in Anthropology  1-3 Credits

Examines special topics in anthropology at the graduate level. Special Note: May be repeated for a maximum of 6 credits with a change of subtitle. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A490",4
181,ANTH,A690A,600,Anchorage,"Advanced Studies in Health, Ritual and Science","Examines and evaluates various relationships between human culture, belief and experience to health, disease and wellness. Topical emphasis will vary by semester. Special Note: May be repeated once with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A490A",3
182,ANTH,A690B,600,Anchorage,Advanced Studies in Historical Engagements,"Examines and evaluates the pathways connecting history and anthropology, as seen through material culture, oral traditions, historical documents and shifting disciplinary perspectives. Special Note: May be repeated once with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A490B",3
183,ANTH,A690C,600,Anchorage,Advanced Studies in Belief and Identity,"Examines and evaluates cross-cultural perspectives on identity related to ethnicity, language, gender, religion and other social factors. Topical emphasis will vary by semester. Special Note: May be repeated once with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A490C",3
184,ANTH,A690D,600,Anchorage,Advanced Studies in the Contemporary North,"Examines and evaluates contemporary Alaska topics, especially as they pertain to Indigenous peoples and communities and the broader Circumpolar North. Identifies ways in which anthropologists and archaeologists address these issues. Topical emphasis will vary by semester. Special Note: May be repeated once with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A490D",3
185,ANTH,A690E,600,Anchorage,"Advanced Studies in Culture, Environment, Place","Examines and evaluates relationships among human culture, space and place with attention to the constructions and perceptions of the physical environment. Special Note: May be repeated once with a change of subtitle. Graduate students will be assigned more in-depth research, additional class readings and mentoring positions for undergraduates. Registration Restrictions: Graduate standing May Be Stacked With: ANTH A490E

ANTH A695 Anthropology Practicum  1-3 Credits

Engages in an anthropology practicum in the public or private sector. Emphasizes the application of anthropological skills under the supervision of a professional anthropologist. Special Note: Arranged practicum between graduate advisor and an outside mentor. Registration Restrictions: Admission to the Master of Arts in Anthropology

ANTH A698 Individual Research  1-9 Credits

Engages student in supervised field, laboratory and/or library research that precedes thesis writing. Special Note: Only 3 credits can be used to fulfill minimum 30-credit requirement for graduation. May be repeated for a maximum of 18 credits.
Prerequisites: (ANTH A610 with a minimum grade of B or ANTH A611 with a minimum grade of B) and ANTH A620 with a minimum grade of P.

ANTH A699 Thesis Research  1-6 Credits

Engages student in independent research conducted under the supervision of a graduate committee. Special Note: Students may enroll for variable credit, but at least three credits are required for graduation. Offered during all semesters. May be repeated for a maximum of 6 credits. Registration Restrictions: Advancement to candidacy and thesis chair approval",3
255,ASTR,A365,300,Anchorage,Astrobiology,"A comprehensive examination of the possibility of the existence of life (microbial and advanced) outside of the Earth, the probability of discovery of extraterrestrial life (methods of planet detection, chemical signatures of microbial life, and contact with advanced life), and the scientific and cultural implications of such a discovery. Includes the study of star and planet formation rates, habitability zones, origin of life, evolution, and formation of intelligence. Registration Restrictions: Junior standing and completion of all GER Tier 1 (basic college-level skills) courses. Crosslisted With: BIOL A365
Prerequisites: BIOL A108 and (PHYS A123 or PHYS A211).
Attributes: UAA Integrative Capstone GER.",3
261,ATA,A331,300,Anchorage,Human Factors in Aviation,"Covers human factors of flight, including physiological and mental aspects.
Prerequisites: ATA A233 with a minimum grade of C.",3
262,ATA,A335,300,Anchorage,Airport Operations,"Examines the management and operation of civil airports. Registration Restrictions: Junior standing
Prerequisites: ATA A102 with a minimum grade of C and ATA A134 with a minimum grade of C.",3
263,ATA,A336,300,Anchorage,Air Service Operations,"Assesses functions of air service operations. Analyzes organization, financing, revenues and expenses, construction, expansion, safety, and working relations with local agencies, including airport management. Registration Restrictions: Junior standing
Prerequisites: ATA A102 with a minimum grade of C and ATA A134 with a minimum grade of C.",3
264,ATA,A337,300,Anchorage,Airline Operations,"Analyzes airline organization and management, including classifications, management methods, governmental relationships, and financial positions.  Examines airline operations, market research, demand determination, and effects of FAA regulations.
Prerequisites: ATA A102 and ATA A134.",3
265,ATA,A415,400,Anchorage,Crew Resource Management,"Examines Crew Resource Management (CRM) principles and programs in various aviation employment settings, such as piloting, Air Traffic Control (ATC), management, and aviation maintenance. Examines how to evaluate human perceptions and the decision-making process in the aviation environment. Examines how to develop CRM training programs applicable in various aviation employment settings.
Prerequisites: ATA A331 with a minimum grade of C.",3
266,ATA,A425,400,Anchorage,Civil Aviation Security,"Analyzes applicable civil aviation transportation security regulations and policy. Assesses security risks and formulates potential intervention, prevention, or enhancement plans using current and developing technology.",3
267,ATA,A431,400,Anchorage,Aircraft Accident Investigation,"Provides a comparative examination of elements and issues used in a field and laboratory investigation of an aircraft accident. Focuses on researching, discovering and analyzing the facts used to determine probable cause of an aircraft accident. Teaches how to develop a corrective action plan to prevent recurrence.
Prerequisites: ATA A233 with a minimum grade of C and ATA A331 with a minimum grade of C.

ATA A490 Advanced Topics in Aviation Technology  1-6 Credits

Provides advanced theoretical and/or experiential learning in all areas of aviation technology, aviation maintenance, professional piloting, aviation administration, and Air Traffic Control (ATC). Specific course content is determined by current industry trends and student needs. Emphasizes the following applications to current technical information: analysis, evaluation and synthesis. Special Note: May be repeated for a maximum of 6 credits with a change of subtitle. A maximum of 6 credits may be applied toward the Bachelor of Science in Aviation Technology. Registration Restrictions: Department approval",3
268,ATA,A492,400,Anchorage,Air Transportation System Seminar,"Analyzes and evaluates current events, issues, globalization, and emerging technologies in the air transportation industry. Evaluates present and future implications for the industry. Integrates technical, business, and general education knowledge to complete research and project assignments. Registration Restrictions: Completion of GER Tier 1 (basic college-level skills) courses. Junior standing and division approval required.
Prerequisites: ATA A337 with a minimum grade of C.
Attributes: UAA Integrative Capstone GER.

ATA A495 Aviation Internship II  1-3 Credits

Provides specialized aviation-related work experiences pertinent to educational program and future employment objectives. Overseen by program faculty and an aviation industry professional. Complete a major industry project specific to student's area of scholastic preparation. Special Note: Open entry/open exit. Students must apply to the Aviation Technology Division to coordinate placement prior to course enrollment. Registration Restrictions: Minimum grade of C in 12 credits of Aviation Technology-related classes, proof of student accident insurance, junior or senior standing, and department approval",3
269,ATA,A603,600,Anchorage,Human Error Analysis in Aviation,"Provides an in-depth examination of human error and its implications in the realm of aviation safety. The course will include a review of, and present techniques for addressing, human error. Developing intervention strategies for a simulated organization and presenting findings and recommendations. Registration Restrictions: Graduate standing or instructor approval.",3
270,ATA,A604,600,Anchorage,Safety Management Systems in Aviation,"Provides a theoretical foundation and application of Safety Management Systems (SMS) in aviation. The course examines each of the components associated with SMS used in aviation and students will develop a generic framework that can be modified to fit any aviation organization. The exploration will also include the refinement of current SMS as well as the development of a safety management policy and assurance techniques. Registration Restrictions: Graduate standing or instructor approval.
Prerequisites: ATA A603.",3
271,ATA,A690,600,Anchorage,Selected Topics in Aviation,"Provides advanced theoretical and applied learning in all areas of the Aviation Technology Division (aviation maintenance, professional piloting, aviation administration and air traffic control). Specific course content is determined by current industry trends and identified issues. Emphasizes the following applications to current technical information: analysis, evaluation and synthesis. Special Note: May be repeated for a maximum of 6 credits with change of subtitle. Registration Restrictions: Graduate standing or instructor approval",3
320,BA,A300,300,Anchorage,Organizational Theory and Behavior,"Introduces the field of organizational behavior. Covers the basic elements of how people think, feel and behave in an organization, along with relevant applications to reinforce best practices. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: (COMM A111 with a minimum grade of C or COMM A235 with a minimum grade of C or COMM A237 with a minimum grade of C or COMM A241 with a minimum grade of C or COMM A1O with a minimum grade of C or COMM A2O with a minimum grade of C) and (WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C).",3
321,BA,A302,300,Anchorage,Real Estate Maintenance and Risk Management,"Illustrates the real estate manager's role overseeing the maintenance requirements and physical risks associated with real estate investments. Special Note: It is recommended that students take BA A225 before or concurrently with this course. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A215 with a minimum grade of C and (COMM A111 with a minimum grade of C or COMM A235 with a minimum grade of C or COMM A237 with a minimum grade of C or COMM A241 with a minimum grade of C or COMM A1O with a minimum grade of C or COMM A2O with a minimum grade of C) and (WRTG A211 with a minimum grade of C or WRTG A212 with a minimum grade of C or WRTG A213 with a minimum grade of C or WRTG A214 with a minimum grade of C or WRTG A2W with a minimum grade of C).",3
322,BA,A303,300,Anchorage,Real Estate Investment Finance,"Examines the basics of finance as it applies to real estate investment and asset management. Discusses operating budgets, cash flow pro formas, performance measures and property valuations. Provides students with the tools to calculate revenue and expense management figures such as return on investment (ROI), net operating income (NOI), cash flow and internal rate of return (IRR). Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: BA A215 with a minimum grade of C or BA A325 with a minimum grade of C.",3
323,BA,A306,300,Anchorage,Real Estate Principles,"Surveys licensee relationships; forms of ownership; property laws, rights, and limitations; forms of conveyances; contracts; financing instruments; Alaska real estate license law and Alaska landlord tenant law; and federal fair housing and RESPA laws. Special Note: May fulfill pre-license education requirements for the Alaska Real Estate Salesperson License exam. Contact instructor for details. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: (BA A241 with a minimum grade of C or JUST A241 with a minimum grade of C) and ECON A102 with a minimum grade of C and (MATH A121 with a minimum grade of C or MATH A151 with a minimum grade of C or MATH A152 with a minimum grade of C or MATH A155 with a minimum grade of C or MATH A221 with a minimum grade of C or MATH A251 with a minimum grade of C).",3
324,BA,A320,300,Anchorage,Real Estate Finance,"Surveys all aspects of real estate finance. Topics covered are interest rates, mortgages, federal housing policies, secondary mortgage markets, leverage and property valuation, taxation, and real estate in a portfolio context. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: (BA A241 with a minimum grade of C or JUST A241 with a minimum grade of C) and ECON A102 with a minimum grade of C and (MATH A121 with a minimum grade of C or MATH A151 with a minimum grade of C or MATH A152 with a minimum grade of C or MATH A155 with a minimum grade of C or MATH A221 with a minimum grade of C or MATH A251 with a minimum grade of C).",3
325,BA,A325,300,Anchorage,Corporate Finance,"Surveys the practice of corporate finance. Covers the time value of money, financial statements analysis, valuation of securities, risk and return, cost of capital, and capital budgeting. Registration Restrictions: College of Business and Public Policy majors must be admitted to upper-division standing.
Prerequisites: ECON A227 with a minimum grade of C.",3
